“The Other Side” (excerpt), 1908, Alfred Kubin



“The Screaming Skull,” 1908, F. Marion Crawford



“The Willows,” 1907, Algernon Blackwood



“Sredni Vashtar,” 1910, Saki



“Casting the Runes,” 1911, M.R. James



“How Nuth Would Have Practised His Art Upon the Gnoles,” 1912, Lord Dunsany



“The Man in the Bottle,” 1912, Gustav Meyrink



“The Dissection,” 1913, Georg Heym



“The Spider,” 1915, Hanns Heinz Ewers



“The Hungry Stones,” 1916, Rabindranath Tagore



“The Vegetable Man,” 1917, Luigi Ugolini



“The People of the Pit,” 1918, A. Merritt



“The Hell Screen,” 1918, Ryunosuke Akutagawa



“Unseen—Unfeared,” 1919, Francis Stevens



“In the Penal Colony,” 1919, Franz Kafka



“The White Wyrak,” 1921, Stefan Grabinski



“The Night Wire,” 1926, H.F. Arnold



“The Dunwich Horror,” 1929, H.P. Lovecraft



“The Book,” 1930, Margaret Irwin



“The Mainz Psalter,” 1930, Jean Ray



“The Shadowy Street,” 1931, Jean Ray



“Genius Loci,” 1933, Clark Ashton Smith



“The Town of Cats,” 1935, Hagiwara Sakutar



“The Tarn,” 1936, Hugh Walpole



“Sanatorium under the Sign of the Hourglass,” 1937, Bruno Schulz



“Far Below,” 1939, Robert Barbour Johnson



“Smoke Ghost,” 1941, Fritz Leiber



“White Rabbits,” 1941, Leonora Carrington



“Mimic,” 1942, Donald Wollheim



“The Crowd,” 1943, Ray Bradbury



“The Long Sheet,” 1944, William Sansom



“The Aleph,” 1945, Jorge Luis Borges



“A Child in the Bush of Ghosts,” 1949, Olympe Bhêly-Quénum



“The Summer People,” 1950, Shirley Jackson



“The Man Who Sold Rope to the Gnoles,” 1951, Margaret St. Clair



“The Hungry House,” 1951, Robert Bloch



“The Complete Gentleman,” 1952, Amos Tutuola



“‘It’s a Good Life,’” 1953, Jerome Bixby



“Mister Taylor,” 1952, Augusto Monterroso



“Axolotl,” 1956, Julio Cortázar



“A Woman Seldom Found,” 1956, William Sansom



“The Howling Man,” 1959, Charles Beaumont



“Same Time, Same Place,” 1963, Mervyn Peake



“The Other Side of the Mountain,” 1967, Michel Bernanos



“The Salamander,” 1967, Mercè Rodoreda



“The Ghoulbird,” 1967, Claude Seignolle



“The Sea Was Wet As Wet Could Be,” 1967, Gahan Wilson



“Don’t Look Now,” 1971, Daphne Du Maurier



“The Hospice,” 1975, Robert Aickman



“It Only Comes Out at Night,” 1976, Dennis Etchison



“The Psychologist Who Wouldn’t Do Terrible Things to Rats,” 1976, James Tiptree, Jr.



“The Beak Doctor,” 1977, Eric Basso



“My Mother,” 1978, Jamaica Kincaid



“Sandkings,” 1979, George R.R. Martin



“Window,” 1980, Bob Leman



“The Brood,” 1980, Ramsey Campbell



“The Autopsy,” 1980, Michael Shea



“The Belonging Kind,” 1981, William Gibson/John Shirley



